programming_skill,math_skill,communication_skill,logic_score,cgpa,aptitude_score,interest_area,career
7,2,2,5,6.3,90,Business,Software Development
8,8,4,8,7.5,84,Management,Machine Learning
8,9,5,1,7.2,52,Business,Business Analytics
2,2,2,6,7.7,71,Networking,Data Science
4,8,4,1,9.2,53,Data,Machine Learning
5,4,3,8,6.1,86,Management,Software Development
5,8,9,10,5.1,41,Management,Business Analytics
1,5,9,7,5.2,90,Data,Business Analytics
6,9,1,9,5.7,96,AI/ML,Data Science
2,2,7,3,7.9,41,AI/ML,Product Management
8,4,7,10,9.0,78,Data,Machine Learning
7,3,4,6,9.4,44,Design,Software Development
10,3,5,7,8.2,61,Coding,Software Development
8,4,8,8,7.0,60,Data,Software Development
4,4,4,7,5.8,71,Management,Software Development
10,2,1,4,7.0,95,AI/ML,Machine Learning
5,8,4,7,6.7,68,Security,Cybersecurity
4,6,3,7,9.4,64,Business,Software Development
10,9,4,9,7.4,45,Networking,Cloud Engineering
4,8,3,5,6.1,94,Data,Machine Learning
1,2,2,6,6.4,59,Coding,Software Development
5,1,10,6,5.7,68,Coding,Product Management
8,5,2,2,9.6,45,Management,Machine Learning
2,5,8,1,5.3,57,Business,Business Analytics
5,3,8,1,5.1,73,Coding,Product Management
2,8,7,7,5.9,94,Data,Business Analytics
7,6,10,5,9.1,60,Coding,Business Analytics
5,8,1,9,7.6,74,Security,Cybersecurity
4,2,4,8,8.1,93,AI/ML,Software Development
3,9,2,2,6.8,61,Design,Machine Learning
6,3,6,2,5.3,57,Networking,Cloud Engineering
7,5,7,4,9.3,42,Management,Machine Learning
10,5,9,10,6.0,95,Design,UI/UX Design
5,9,4,1,5.2,46,Management,Machine Learning
2,3,3,2,7.9,53,Coding,Software Development
9,3,10,1,5.4,48,Networking,Business Analytics
7,4,7,5,5.5,83,Security,Software Development
8,4,8,10,9.0,62,Coding,Software Development
1,2,5,7,7.5,83,Management,Product Management
4,2,5,5,6.2,77,Security,Software Development
8,3,4,2,6.7,40,Data,Machine Learning
9,5,8,4,8.6,58,Coding,Software Development
5,4,3,6,5.3,40,Security,Software Development
9,4,10,3,5.6,43,Security,Business Analytics
9,8,2,8,8.1,68,Business,Machine Learning
4,3,5,10,8.0,56,Design,Software Development
9,10,4,3,9.9,45,AI/ML,Business Analytics
3,8,7,3,6.9,64,Networking,Business Analytics
3,2,7,2,5.3,67,Coding,Product Management
7,4,10,8,7.7,100,Design,Business Analytics
7,2,8,5,8.2,80,Design,UI/UX Design
2,3,3,3,5.7,63,Design,Product Management
9,4,3,3,7.8,68,Data,Machine Learning
2,2,9,1,6.0,45,Management,Product Management
9,1,5,5,9.2,63,Coding,Software Development
1,5,1,7,9.2,75,Coding,Software Development
8,8,9,3,7.1,41,Coding,Business Analytics
8,4,7,1,9.8,96,Management,Product Management
8,9,1,5,9.9,71,AI/ML,Data Science
7,4,8,7,5.6,87,AI/ML,Software Development
5,10,7,4,6.8,56,Coding,Business Analytics
8,3,7,3,8.0,91,Security,Product Management
3,6,9,2,5.4,62,Design,UI/UX Design
8,8,5,8,6.9,96,Management,Machine Learning
6,1,5,9,6.3,71,Coding,Software Development
5,10,7,8,9.8,78,Networking,Cybersecurity
6,4,2,6,7.1,52,Design,Software Development
6,5,2,8,8.8,100,AI/ML,Software Development
1,7,9,4,6.9,51,Management,Business Analytics
2,7,3,1,5.7,42,Security,Business Analytics
3,1,6,4,9.3,66,Coding,Product Management
2,9,3,8,5.0,90,Security,Cybersecurity
5,7,3,7,5.3,96,Networking,Cybersecurity
7,10,6,10,6.8,92,Business,Business Analytics
7,5,9,10,8.4,73,Management,Cloud Engineering
5,7,5,3,6.7,95,Design,Machine Learning
9,5,2,1,5.3,70,Coding,Machine Learning
6,9,3,3,6.6,69,Security,UI/UX Design
1,9,2,9,6.2,51,Data,Business Analytics
8,10,9,9,5.0,88,Coding,Data Science
6,6,4,1,7.7,59,Data,Machine Learning
7,8,4,2,5.6,51,Data,Data Science
6,4,1,6,6.4,62,Business,Software Development
6,5,5,7,8.2,76,Networking,Cloud Engineering
1,8,10,10,8.6,56,Security,Cybersecurity
6,1,5,8,6.3,61,Coding,Software Development
8,8,7,3,6.6,60,Data,Data Science
4,1,2,1,6.2,76,Security,Product Management
7,6,2,7,9.8,83,Management,Software Development
1,5,8,6,6.0,81,Business,Product Management
4,5,1,10,5.9,48,Business,Software Development
5,5,5,6,7.2,61,Management,Software Development
10,5,4,6,5.9,79,Networking,Cloud Engineering
3,5,1,4,5.8,53,Design,Machine Learning
3,5,6,1,5.5,44,Design,UI/UX Design
5,6,10,9,8.2,59,Design,Business Analytics
10,8,1,9,8.1,81,Design,Software Development
9,6,9,2,8.3,80,Networking,Machine Learning
1,7,6,8,8.9,47,Networking,Cybersecurity
3,9,8,4,6.6,81,Networking,Machine Learning
9,10,1,5,9.6,51,Data,UI/UX Design
1,2,9,9,8.7,85,Security,Cybersecurity
9,8,1,9,9.0,74,Design,Software Development
3,3,10,2,8.6,47,Data,Business Analytics
10,2,7,4,6.8,61,Networking,Cloud Engineering
3,8,4,9,6.4,89,Security,Cybersecurity
5,1,1,10,7.1,66,Networking,Cybersecurity
7,9,7,1,5.5,81,Networking,Machine Learning
2,8,1,9,7.3,85,AI/ML,Machine Learning
6,10,7,5,5.2,41,Business,Business Analytics
6,7,8,6,5.0,96,Data,UI/UX Design
8,9,3,1,9.7,60,AI/ML,Data Science
10,2,3,7,8.4,88,Coding,UI/UX Design
7,9,3,7,7.8,68,Security,Cybersecurity
5,2,3,7,6.7,75,Security,Cybersecurity
5,4,2,8,7.9,61,Networking,Cybersecurity
5,2,3,10,9.5,92,Networking,Data Science
9,5,7,9,8.3,47,Design,UI/UX Design
4,8,4,8,8.0,94,Security,Cybersecurity
2,3,8,10,7.3,52,Networking,Cybersecurity
4,9,9,7,6.7,93,Coding,Business Analytics
1,7,8,7,8.5,41,Networking,Product Management
2,7,6,6,9.9,40,Business,Business Analytics
1,10,4,8,7.1,45,Data,Business Analytics
8,5,10,1,7.0,73,Coding,Business Analytics
8,4,3,6,7.1,56,Design,Software Development
7,10,5,5,7.1,76,Coding,Machine Learning
5,6,5,10,10.0,90,Management,Software Development
8,7,8,1,8.5,41,Data,Business Analytics
2,3,6,7,6.8,72,Coding,Software Development
10,3,8,2,6.9,85,Management,Product Management
6,2,10,9,7.2,65,Design,UI/UX Design
10,3,4,9,5.2,96,Design,Software Development
2,2,9,3,7.6,80,AI/ML,Product Management
5,8,2,9,9.1,42,Coding,Software Development
7,1,10,5,8.3,73,Security,Product Management
5,7,2,10,6.0,63,Networking,Cybersecurity
5,10,9,8,8.6,48,Design,UI/UX Design
2,8,4,1,8.6,97,Management,Business Analytics
4,5,10,3,6.3,53,Networking,Business Analytics
3,1,2,5,8.1,45,Networking,Cloud Engineering
4,9,5,3,8.1,53,Security,Business Analytics
7,1,10,2,9.2,90,AI/ML,Product Management
7,7,1,10,5.7,76,Networking,Cloud Engineering
7,7,3,9,6.0,90,Security,Cybersecurity
4,2,1,5,7.4,68,Coding,UI/UX Design
10,8,4,3,5.2,47,Business,Machine Learning
1,2,4,2,7.1,63,Networking,Product Management
4,3,7,10,8.9,52,AI/ML,Software Development
2,9,3,4,5.7,73,AI/ML,Machine Learning
4,10,2,1,7.3,56,Business,Machine Learning
10,3,2,4,9.9,99,Management,Software Development
4,10,10,5,7.5,63,Coding,Business Analytics
10,10,10,7,7.5,59,Data,Business Analytics
5,8,3,4,7.8,100,Networking,Machine Learning
7,2,2,10,5.9,71,Security,Product Management
5,3,1,7,5.7,50,Business,Data Science
3,7,10,10,8.4,69,Security,Cybersecurity
8,10,8,4,7.0,55,Business,Business Analytics
10,9,8,7,6.4,83,Security,Cybersecurity
3,5,3,4,5.2,74,Security,Machine Learning
8,3,7,7,9.2,84,Networking,Cloud Engineering
3,10,1,8,5.2,97,Data,Business Analytics
8,3,7,4,8.7,84,AI/ML,Machine Learning
8,4,6,10,6.9,60,Networking,Product Management
5,10,4,9,8.0,52,Business,Business Analytics
8,6,8,9,6.2,72,Management,Product Management
3,3,7,3,5.8,67,Management,Product Management
1,1,5,8,7.7,59,Security,Cybersecurity
1,5,2,2,8.5,89,Management,Product Management
5,10,1,2,6.0,95,Management,Machine Learning
10,5,10,10,7.2,63,Security,Cybersecurity
2,7,3,2,7.2,81,Design,Business Analytics
5,3,4,9,6.1,100,Coding,Software Development
8,8,7,5,7.8,40,Security,Machine Learning
3,8,3,4,5.7,62,Coding,UI/UX Design
8,7,4,1,7.5,85,Coding,Machine Learning
4,8,8,7,5.6,70,Management,Product Management
9,6,6,8,7.4,88,AI/ML,Machine Learning
6,4,7,5,6.6,68,Coding,Software Development
6,8,1,9,7.3,43,Design,Cloud Engineering
2,9,5,4,7.2,66,Design,Business Analytics
5,9,5,6,9.5,64,AI/ML,Machine Learning
9,3,7,3,7.4,91,Networking,Cloud Engineering
1,7,2,6,9.1,48,Coding,Software Development
8,1,2,2,6.1,49,Business,Software Development
5,6,8,5,6.8,48,Coding,Data Science
8,6,7,6,5.4,74,Data,Business Analytics
7,4,9,6,7.1,100,Networking,Cloud Engineering
5,10,3,5,8.3,77,Management,Machine Learning
4,9,10,7,9.2,89,AI/ML,Business Analytics
7,1,3,6,7.8,91,Security,Software Development
2,3,7,3,8.2,76,Management,Product Management
6,3,2,3,5.9,77,Networking,Cloud Engineering
1,9,10,7,5.2,54,Data,Business Analytics
7,6,4,10,9.0,98,Networking,Cloud Engineering
7,8,9,8,5.8,88,Design,Software Development
1,9,4,7,5.5,93,Management,Software Development
8,8,8,10,9.7,100,Design,UI/UX Design
5,1,5,9,9.8,61,Design,Software Development
8,2,1,6,8.1,48,Management,Software Development
1,4,2,2,6.9,92,Networking,Product Management
2,4,7,7,9.2,68,Coding,UI/UX Design
5,8,2,7,6.0,98,Data,Machine Learning
2,2,3,3,7.1,82,Data,Cloud Engineering
4,4,6,9,6.8,55,Coding,Software Development
7,3,3,9,9.6,61,Data,Software Development
2,2,2,4,9.6,77,AI/ML,Machine Learning
7,2,7,5,8.3,64,Business,Product Management
2,2,7,2,5.6,57,Security,Product Management
2,6,8,2,7.4,52,Design,UI/UX Design
6,5,10,3,6.2,79,Design,UI/UX Design
8,5,2,4,9.4,42,Design,Machine Learning
2,5,5,3,5.7,45,Coding,Business Analytics
3,8,3,2,5.3,42,Management,Machine Learning
10,9,10,5,8.5,84,Business,Business Analytics
10,6,6,7,7.3,41,Security,Cybersecurity
6,7,1,4,9.2,65,Management,Machine Learning
5,8,7,6,5.4,47,Coding,Business Analytics
4,7,1,3,9.0,75,Data,Machine Learning
7,2,3,8,5.2,42,AI/ML,Software Development
6,10,8,7,5.1,41,Data,Business Analytics
3,2,6,10,7.3,65,Networking,Cybersecurity
1,5,8,1,6.1,82,AI/ML,Business Analytics
2,7,6,9,8.0,46,Data,Business Analytics
10,5,9,4,5.1,70,Management,Product Management
5,3,6,1,5.2,89,AI/ML,Product Management
5,10,1,7,8.6,78,Management,Machine Learning
5,1,1,2,6.1,85,Security,Software Development
8,3,8,2,8.3,59,Design,UI/UX Design
1,10,1,10,8.7,97,Management,Machine Learning
1,8,4,3,5.3,48,Business,Business Analytics
3,1,1,6,8.8,76,Data,Software Development
5,8,4,3,6.3,66,Data,Machine Learning
7,10,6,2,6.9,41,Design,UI/UX Design
5,1,2,1,5.4,97,Security,Product Management
5,5,5,1,9.2,82,Management,Product Management
10,5,10,5,7.8,53,Security,Machine Learning
2,2,1,5,7.5,43,Design,Software Development
6,3,1,1,9.8,81,Management,Machine Learning
6,2,3,4,6.7,73,Design,Software Development
5,2,9,3,9.5,43,Data,Business Analytics
9,5,5,6,8.6,100,Coding,Software Development
3,5,7,10,9.6,83,Business,Product Management
10,3,1,7,9.5,68,Management,Software Development
4,3,8,10,10.0,54,Networking,Cybersecurity
6,2,1,2,5.7,56,Design,Machine Learning
6,8,8,3,9.0,67,Security,Business Analytics
9,3,2,8,9.0,43,Business,Software Development
5,10,9,4,8.2,62,Business,Business Analytics
3,6,3,9,6.4,53,AI/ML,Software Development
1,9,2,5,9.8,46,Coding,Business Analytics
4,7,4,3,6.0,47,Design,Machine Learning
9,3,1,9,7.5,61,Data,Business Analytics
1,7,2,6,7.6,63,Business,Business Analytics
9,3,6,9,5.8,61,Networking,Cloud Engineering
6,2,4,5,8.6,82,Coding,Software Development
2,3,4,2,5.4,71,Security,Product Management
4,3,9,7,8.5,51,Design,UI/UX Design
6,2,2,2,9.2,99,Coding,Software Development
4,1,4,7,6.7,84,Design,Software Development
2,10,2,5,8.5,68,Business,Business Analytics
7,6,5,8,5.8,42,Security,Cybersecurity
7,5,4,9,9.2,95,Business,Software Development
2,10,1,5,9.8,85,Security,Machine Learning
3,3,1,9,5.8,68,Data,Business Analytics
3,5,9,2,8.5,49,Coding,Business Analytics
7,9,1,2,7.5,46,Security,Machine Learning
8,7,8,10,7.7,57,Data,Business Analytics
8,4,10,6,8.5,54,Networking,Software Development
10,3,5,5,7.4,52,Coding,Software Development
8,1,4,2,8.0,64,Networking,Cloud Engineering
4,1,8,3,6.2,42,Design,UI/UX Design
2,2,10,7,6.9,59,Coding,Product Management
7,8,2,9,9.3,93,Business,Software Development
10,7,10,10,5.5,92,Data,Business Analytics
10,5,10,5,8.0,40,Design,UI/UX Design
3,8,2,5,5.9,81,Management,Machine Learning
3,2,1,2,9.2,100,Coding,Cybersecurity
1,3,8,1,7.9,75,Security,Product Management
2,4,1,5,7.0,63,Networking,Cybersecurity
6,10,7,6,6.2,69,Coding,Business Analytics
6,7,1,2,7.2,53,Management,Machine Learning
4,9,7,5,9.8,64,Design,UI/UX Design
4,3,3,7,7.5,97,Design,Software Development
9,9,1,9,7.3,77,Business,Machine Learning
5,1,1,10,8.7,66,Management,Software Development
9,3,2,4,6.9,47,AI/ML,Cloud Engineering
10,6,6,4,7.1,95,AI/ML,Machine Learning
4,1,1,9,6.7,49,Coding,Software Development
3,9,9,7,5.8,84,Data,UI/UX Design
10,9,7,3,8.6,58,AI/ML,Data Science
7,6,3,7,9.4,56,Security,Cybersecurity
3,4,10,2,9.5,50,Coding,Business Analytics
7,1,7,5,9.4,62,Data,Software Development
6,7,7,4,7.3,81,Security,Software Development
10,6,2,10,6.4,65,Management,Software Development
3,8,8,1,8.2,41,Business,Business Analytics
10,7,6,9,9.8,56,AI/ML,Data Science
10,2,10,3,8.6,49,Security,Software Development
2,2,5,1,7.5,64,Networking,Product Management
2,8,7,7,8.4,95,Management,Product Management
6,2,4,7,8.9,98,Coding,Software Development
1,10,1,2,9.6,100,Design,Machine Learning
3,2,2,1,8.8,46,AI/ML,Machine Learning
5,8,9,2,7.2,69,Networking,Business Analytics
10,10,8,5,6.4,42,AI/ML,Data Science
10,5,4,2,7.5,70,Security,Machine Learning
2,1,7,8,6.6,75,Design,UI/UX Design
9,9,1,1,9.7,87,AI/ML,Data Science
1,2,1,8,7.5,60,Networking,Cybersecurity
8,6,6,9,7.4,42,Networking,Cloud Engineering
9,10,7,8,6.7,67,Data,Cybersecurity
9,8,10,10,8.2,66,Networking,Cloud Engineering
3,1,8,10,7.6,78,Networking,Cybersecurity
9,9,3,1,5.6,46,Security,Machine Learning
2,2,9,4,9.3,77,Design,UI/UX Design
6,8,5,8,6.8,64,Security,Cybersecurity
5,7,9,4,7.2,85,Management,Product Management
4,3,2,8,6.0,100,Security,Cybersecurity
1,5,1,8,7.8,53,Management,Software Development
8,2,1,10,8.5,85,Data,Software Development
4,10,10,4,9.4,47,Design,UI/UX Design
7,3,1,4,5.3,100,Design,Software Development
5,4,10,1,9.9,69,Coding,Business Analytics
4,6,8,3,8.5,85,Security,Business Analytics
9,7,2,3,6.4,87,Data,Data Science
1,6,9,5,6.0,77,Security,Business Analytics
8,6,2,5,6.5,63,Data,Machine Learning
8,6,2,9,9.4,86,Networking,Cloud Engineering
4,9,6,8,6.5,69,Business,Cloud Engineering
3,4,3,8,7.3,80,Management,Software Development
1,9,3,1,8.5,77,Data,Business Analytics
10,8,2,5,9.4,68,Security,Machine Learning
10,10,7,8,8.3,47,Design,UI/UX Design
3,10,1,3,8.8,57,Design,Machine Learning
1,8,3,5,5.9,97,AI/ML,Machine Learning
2,3,6,8,9.4,71,AI/ML,Software Development
1,8,5,8,6.4,78,Data,Business Analytics
9,8,7,9,5.6,55,Coding,Software Development
9,3,3,5,9.9,83,AI/ML,Machine Learning
2,7,7,4,6.0,69,Security,Business Analytics
8,3,8,4,5.7,53,Design,UI/UX Design
2,6,4,7,8.1,48,AI/ML,Machine Learning
4,8,3,5,6.6,64,Networking,Machine Learning
6,2,6,5,5.7,74,Networking,Data Science
8,4,6,2,8.0,57,AI/ML,Machine Learning
9,8,1,5,8.8,54,Design,Machine Learning
1,5,6,3,9.0,56,Networking,Business Analytics
2,10,2,6,5.8,57,Management,Machine Learning
3,1,6,9,7.8,85,AI/ML,Cybersecurity
4,8,10,8,9.1,70,Security,Cybersecurity
10,9,6,5,5.8,68,AI/ML,Data Science
8,10,8,10,6.0,49,Security,Cybersecurity
4,2,4,10,5.0,73,Security,Cybersecurity
10,10,10,5,7.6,98,Networking,Machine Learning
5,4,9,8,6.0,85,Business,Product Management
6,4,10,4,8.6,67,Coding,Business Analytics
5,4,8,9,9.8,58,Business,Business Analytics
2,7,7,4,6.0,61,Data,Business Analytics
10,7,6,3,8.2,41,Data,Data Science
1,5,10,2,6.1,41,Coding,Business Analytics
2,1,9,9,5.1,87,AI/ML,Product Management
3,10,5,3,8.8,91,Design,Business Analytics
3,3,1,9,7.2,99,Design,Software Development
2,1,1,1,9.7,78,Management,Product Management
1,6,3,6,7.7,96,Security,Business Analytics
7,5,1,5,5.8,65,Design,Machine Learning
10,7,3,5,7.2,55,Design,Machine Learning
2,9,2,2,6.0,54,Data,Machine Learning
3,1,10,1,9.4,54,Networking,Product Management
6,3,1,4,8.5,85,Data,Machine Learning
10,6,7,5,6.7,40,Coding,Software Development
7,8,4,8,7.6,97,Security,Cybersecurity
8,7,2,5,8.3,87,Security,Machine Learning
6,4,8,3,8.9,63,Networking,Cybersecurity
5,7,10,3,5.4,82,Networking,Product Management
2,10,8,7,5.1,48,Networking,Cybersecurity
9,5,10,5,5.6,66,Security,Business Analytics
9,9,6,10,7.0,46,Coding,Software Development
1,8,7,5,7.3,46,Business,Business Analytics
8,4,2,6,5.7,40,Design,Software Development
1,3,9,1,7.1,88,Data,Business Analytics
8,8,8,2,7.2,85,Business,Business Analytics
9,3,3,9,5.5,94,AI/ML,Software Development
2,4,4,4,9.6,99,Design,Product Management
5,3,7,5,8.0,98,Data,Business Analytics
2,7,1,6,6.9,100,Security,Machine Learning
6,3,9,1,7.5,40,AI/ML,Software Development
10,7,3,6,6.6,87,AI/ML,Data Science
1,10,1,4,9.3,84,Networking,Product Management
4,9,4,2,7.9,49,Design,Machine Learning
10,10,9,5,7.5,48,AI/ML,Data Science
4,1,3,5,9.6,99,Coding,Software Development
2,5,6,2,9.2,93,Networking,Business Analytics
5,3,9,6,9.1,59,Business,Business Analytics
6,10,1,8,6.1,44,Data,Data Science
7,8,8,3,5.8,60,AI/ML,Data Science
4,4,3,10,8.5,40,Management,Software Development
10,6,7,7,7.3,81,Coding,Software Development
6,7,2,8,8.4,63,Networking,Cybersecurity
3,5,2,1,8.8,42,Management,Machine Learning
10,5,8,8,6.5,99,Data,Software Development
10,1,9,4,6.4,90,Management,Product Management
5,5,10,8,7.5,95,AI/ML,Business Analytics
1,4,7,9,6.4,100,Data,Product Management
6,9,5,3,8.3,40,AI/ML,Data Science
6,9,2,3,8.7,87,Design,Machine Learning
2,8,3,1,7.4,88,Business,Business Analytics
7,1,7,7,8.6,87,Security,Cybersecurity
9,9,4,8,7.6,56,AI/ML,Data Science
2,4,5,5,8.6,63,Management,Product Management
8,5,2,2,6.1,96,Networking,Machine Learning
2,10,5,4,8.7,44,Design,Business Analytics
8,9,3,5,8.6,79,Design,Machine Learning
5,1,2,10,6.3,88,AI/ML,Software Development
1,4,2,2,7.8,88,Business,Product Management
10,8,6,4,9.3,76,Data,Data Science
2,6,4,7,6.2,86,Management,Product Management
6,3,1,3,8.7,95,Management,Machine Learning
2,6,6,9,9.8,86,Design,UI/UX Design
10,9,2,10,9.3,47,Business,Software Development
8,3,1,4,7.0,54,Networking,Cloud Engineering
9,8,2,8,8.0,58,Networking,Cloud Engineering
5,8,5,8,10.0,60,Networking,Cybersecurity
5,9,10,7,7.8,62,Business,Cybersecurity
7,3,3,2,5.6,53,Security,Machine Learning
8,3,3,1,5.2,81,Networking,Machine Learning
9,6,3,4,9.0,46,AI/ML,Machine Learning
1,6,4,2,7.1,88,Data,Product Management
7,5,8,3,6.2,80,Data,Business Analytics
2,8,4,7,6.7,98,Networking,Cybersecurity
3,8,7,6,8.8,40,Data,Software Development
9,3,9,3,7.3,58,Management,Product Management
3,8,10,1,9.3,94,Management,Product Management
8,3,6,3,8.7,70,Security,Machine Learning
5,5,8,5,9.9,74,Design,UI/UX Design
3,1,10,8,9.4,41,AI/ML,Product Management
4,4,8,4,6.3,86,Design,UI/UX Design
6,10,3,3,8.3,55,Security,Machine Learning
8,5,2,6,5.1,98,Security,Software Development
7,8,2,1,10.0,62,Security,Software Development
10,2,9,3,6.3,51,Management,Product Management
9,7,6,1,8.3,76,Design,UI/UX Design
8,4,3,6,9.2,69,AI/ML,Machine Learning
7,8,4,5,5.8,68,Networking,Machine Learning
3,10,3,6,9.2,97,Business,Business Analytics
5,6,9,7,5.1,62,Security,Cybersecurity
2,2,7,4,7.2,64,Security,Product Management
4,5,9,9,7.4,78,Networking,Cybersecurity
10,2,4,10,6.9,50,Networking,Cloud Engineering
5,5,5,2,7.9,90,Coding,Machine Learning
2,1,2,10,9.6,54,AI/ML,Software Development
7,7,10,2,6.6,54,Business,Business Analytics
10,4,6,3,7.9,40,Coding,Software Development
9,3,6,6,9.4,60,Business,Software Development
3,1,5,1,8.9,75,Management,Product Management
5,9,3,4,5.2,83,Data,Machine Learning
6,9,10,2,9.7,94,Design,UI/UX Design
3,9,5,5,5.2,87,Coding,Business Analytics
3,1,7,9,7.9,59,Security,Cybersecurity
3,4,1,10,7.9,90,Data,Software Development
10,10,3,3,8.9,51,Design,Machine Learning
8,6,9,6,5.7,52,Networking,Cloud Engineering
9,2,1,5,5.9,61,Design,Software Development
9,2,2,5,8.8,72,Security,Software Development
10,3,9,7,5.7,52,Data,Software Development
2,10,4,10,7.3,94,Networking,Cybersecurity
9,2,3,5,8.7,56,Data,Software Development
1,10,6,1,8.3,63,Management,Business Analytics
5,7,2,10,6.1,76,Business,Software Development
6,10,1,10,6.5,66,Management,Machine Learning
4,9,1,4,9.8,64,Design,Machine Learning
2,4,1,6,7.2,100,Coding,Software Development
2,9,2,9,5.2,66,Management,UI/UX Design
9,2,7,6,6.1,46,Data,Business Analytics
4,3,3,5,6.7,84,Networking,Cloud Engineering
4,3,1,10,10.0,83,Coding,Cybersecurity
10,2,1,9,6.5,53,Management,Software Development
2,1,5,6,5.1,91,Security,Product Management
10,2,9,2,7.6,63,AI/ML,Machine Learning
10,2,4,5,5.4,49,Data,Software Development
6,4,1,7,6.4,50,AI/ML,Software Development
2,1,3,3,10.0,83,Business,Product Management
2,1,5,6,8.5,53,Design,Software Development
3,10,2,7,5.3,68,Coding,Machine Learning
6,1,10,1,7.2,84,Design,UI/UX Design
2,1,8,6,5.9,92,Networking,Product Management
5,1,4,8,5.6,69,Design,Software Development
2,2,10,3,7.9,95,Security,UI/UX Design
6,6,4,6,7.5,58,Coding,Software Development
1,9,2,8,8.7,93,Security,Cybersecurity
8,8,10,1,9.5,55,Coding,Business Analytics
1,6,10,7,6.2,43,AI/ML,Business Analytics
2,1,4,3,9.6,84,Networking,Product Management
2,8,6,4,7.6,86,Business,Business Analytics
9,1,2,7,6.3,96,Coding,Software Development
1,7,7,1,9.2,96,Networking,Software Development
5,5,7,1,5.2,46,Security,Business Analytics
6,9,8,5,7.8,77,Design,UI/UX Design
6,4,6,10,8.6,82,Data,Software Development
7,7,8,1,6.4,76,Coding,Business Analytics
9,5,6,8,9.3,41,AI/ML,Software Development
4,6,9,1,6.2,42,Business,Business Analytics
9,10,2,5,9.2,80,Security,Machine Learning
4,8,5,5,5.4,92,Management,Business Analytics
10,5,5,5,5.8,50,AI/ML,Machine Learning
6,5,6,1,6.9,42,Networking,Cloud Engineering
8,8,2,8,9.3,64,Networking,Cloud Engineering
9,4,4,3,5.7,59,Data,Machine Learning
8,2,10,8,9.4,99,Coding,Software Development
9,5,2,7,6.1,96,Networking,Cloud Engineering
6,1,7,6,7.3,74,Security,Software Development
1,2,7,4,6.8,97,Networking,Product Management
5,5,5,7,5.6,53,Security,Cybersecurity
2,8,1,10,9.7,100,Design,Software Development
9,8,1,10,7.2,67,Design,Software Development
3,3,3,10,8.5,69,Business,Software Development
3,5,2,3,7.9,43,Management,Machine Learning
3,2,1,6,7.5,50,Coding,Software Development
7,8,2,4,8.1,51,Management,Machine Learning
6,3,2,10,9.5,69,Management,UI/UX Design
10,8,9,10,8.5,51,Design,UI/UX Design
5,9,7,9,7.7,46,Security,Cybersecurity
3,7,1,2,8.2,76,Data,Machine Learning
1,4,7,4,8.0,93,Data,Business Analytics
1,10,2,8,7.2,44,AI/ML,Machine Learning
4,7,5,8,8.1,74,Coding,Software Development
10,7,1,4,7.2,98,AI/ML,Data Science
